attendance,periodical,assignment,label
63,45,48,AtRisk
86,66,71,Safe
68,53,48,AtRisk
65,52,73,Safe
56,52,63,AtRisk
47,51,53,AtRisk
75,56,61,Safe
60,59,81,Safe
75,71,65,Safe
63,55,57,AtRisk
99,86,81,HighPerformer
86,85,97,HighPerformer
79,55,41,AtRisk
75,70,72,Safe
90,52,70,Safe
73,77,66,Safe
78,38,46,AtRisk
61,58,60,AtRisk
61,47,49,AtRisk
53,53,61,AtRisk
69,70,99,HighPerformer
57,45,46,AtRisk
88,89,97,HighPerformer
61,35,62,AtRisk
87,76,88,HighPerformer
96,91,90,HighPerformer
74,82,80,HighPerformer
83,77,80,HighPerformer
89,70,52,Safe
87,83,84,HighPerformer
91,92,87,HighPerformer
65,44,43,AtRisk
70,78,80,HighPerformer
72,76,94,HighPerformer
70,78,57,Safe
76,88,69,HighPerformer
74,60,68,Safe
54,40,44,AtRisk
81,51,65,Safe
48,52,64,AtRisk
69,57,78,Safe
89,78,83,Safe
84,72,81,HighPerformer
81,73,80,HighPerformer
75,77,55,Safe
68,41,42,AtRisk
60,65,51,Safe
82,62,51,Safe
77,52,53,Safe
82,94,97,HighPerformer
74,65,61,Safe
83,78,88,HighPerformer
64,76,57,Safe
86,76,70,Safe
88,82,93,HighPerformer
83,50,80,Safe
